,idade_pessoa,salario_pessoa,situacao_propriedade_pessoa,tempo_trabalhado_pessoa,motivo_emprestimo,pontuacao_emprestimo,valor_emprestimo,taxa_juros_emprestimo,status_emprestimo,porcentagem_salario_emprestimo,foi_inadimplente_cb,tempo_primeira_solicitacao_credito_cb
81,35.0,99800.0,Hipoteca,9.0,Personal,A,8000.0,7.14,0.0,0.08,N,9
82,21.0,34500.0,Aluguel,2.0,Melhora do lar,D,11500.0,15.31,1.0,0.33,N,2
83,38.0,35000.0,Aluguel,6.0,Personal,B,5000.0,9.99,0.0,0.14,N,14
84,22.0,27996.0,Hipoteca,4.0,Médico,D,3250.0,15.21,1.0,0.12,N,2
85,28.0,66920.0,Aluguel,12.0,Pagamento de débitos,C,5000.0,14.26,0.0,0.07,S,8
86,36.0,54000.0,Aluguel,2.0,Melhora do lar,C,2225.0,10.59,1.0,0.04,N,14
87,32.0,84996.0,Hipoteca,5.0,Médico,B,20000.0,8.88,0.0,0.24,N,5
88,26.0,107900.0,Hipoteca,10.0,Médico,A,16500.0,8.94,0.0,0.15,N,3
89,22.0,78000.0,Aluguel,6.0,Pagamento de débitos,B,21600.0,11.26,1.0,0.28,N,3
90,23.0,120000.0,Aluguel,4.0,Educativo,D,8000.0,14.61,0.0,0.07,S,4
91,25.0,25000.0,Aluguel,3.0,Personal,D,10000.0,14.11,1.0,0.4,S,2
92,24.0,50000.0,Hipoteca,8.0,Educativo,C,3000.0,13.47,0.0,0.06,N,2
93,32.0,40000.0,Aluguel,2.0,Educativo,B,4000.0,9.99,0.0,0.1,N,7
94,40.0,233000.0,Hipoteca,6.0,Médico,B,15000.0,11.83,0.0,0.06,N,15
95,29.0,80000.0,Aluguel,13.0,Médico,C,15000.0,13.72,0.0,0.19,S,5
96,26.0,31200.0,Hipoteca,6.0,Personal,A,9250.0,7.9,0.0,0.3,N,2
97,23.0,117696.0,Hipoteca,2.0,Médico,A,15000.0,6.03,0.0,0.13,N,4
98,25.0,75000.0,Hipoteca,8.0,Pagamento de débitos,A,15000.0,9.63,0.0,0.2,N,3
99,23.0,70000.0,Aluguel,2.0,Pagamento de débitos,A,10000.0,9.63,0.0,0.14,N,3
100,24.0,46000.0,Aluguel,0.0,Educativo,D,5975.0,14.46,1.0,0.13,S,2
101,22.0,75000.0,Aluguel,5.0,Empreendimento,B,5000.0,11.49,0.0,0.07,N,3
102,25.0,35000.0,Aluguel,5.0,Empreendimento,B,9600.0,9.91,0.0,0.27,N,2
103,30.0,45063.0,Aluguel,7.0,Médico,D,7500.0,15.05,1.0,0.17,N,6
104,28.0,50000.0,Aluguel,2.0,Educativo,D,2000.0,16.89,1.0,0.04,N,5
105,31.0,10000.0,Aluguel,15.0,Pagamento de débitos,A,2650.0,7.4,1.0,0.27,N,9
106,26.0,50004.0,Hipoteca,10.0,Educativo,A,5000.0,9.32,0.0,0.1,N,2
107,23.0,75000.0,Aluguel,3.0,Empreendimento,A,2000.0,5.79,0.0,0.03,N,3
108,26.0,52000.0,Aluguel,6.0,Pagamento de débitos,C,2500.0,14.82,0.0,0.05,S,2
109,37.0,30000.0,Aluguel,6.0,Médico,B,6500.0,10.37,0.0,0.22,N,11
110,37.0,44700.0,Aluguel,0.0,Pagamento de débitos,A,9000.0,8.59,0.0,0.2,N,16
111,30.0,90722.0,Hipoteca,6.0,Empreendimento,A,10000.0,6.91,0.0,0.11,N,8
112,42.0,80000.0,Hipoteca,8.0,Personal,B,5000.0,11.99,0.0,0.06,N,17
113,38.0,65000.0,Hipoteca,5.0,Educativo,B,15000.0,10.36,0.0,0.23,N,17
114,24.0,68000.0,Aluguel,0.0,Empreendimento,A,10000.0,6.99,0.0,0.15,N,3
115,32.0,145000.0,Aluguel,2.0,Personal,B,8800.0,10.59,0.0,0.06,N,7
116,39.0,62400.0,Aluguel,7.0,Personal,C,20000.0,12.68,1.0,0.32,N,13
117,38.0,67200.0,Hipoteca,11.0,Educativo,A,8000.0,7.9,0.0,0.12,N,11
118,31.0,33600.0,Hipoteca,15.0,Personal,A,6500.0,7.14,0.0,0.19,N,8
119,22.0,60000.0,Aluguel,6.0,Educativo,C,7500.0,11.34,0.0,0.13,S,4
120,34.0,100000.0,Hipoteca,8.0,Melhora do lar,A,15000.0,6.17,0.0,0.15,N,10
121,23.0,45312.0,Aluguel,3.0,Educativo,A,13500.0,7.88,0.0,0.3,N,3
122,25.0,41000.0,Hipoteca,9.0,Educativo,C,5000.0,11.78,1.0,0.12,S,3
123,28.0,48000.0,Hipoteca,4.0,Empreendimento,B,3000.0,11.99,0.0,0.06,N,6
124,46.0,60350.0,Aluguel,3.0,Personal,A,10000.0,8.94,0.0,0.17,N,17
125,31.0,124992.0,Hipoteca,15.0,Pagamento de débitos,A,24000.0,8.49,0.0,0.19,N,5
126,29.0,50400.0,Aluguel,6.0,Pagamento de débitos,A,7000.0,6.17,0.0,0.14,N,8
127,42.0,36000.0,Aluguel,7.0,Médico,D,8400.0,16.32,1.0,0.23,S,15
128,31.0,54000.0,Aluguel,2.0,Pagamento de débitos,C,5500.0,13.23,0.0,0.1,N,9
129,50.0,85000.0,Aluguel,1.0,Melhora do lar,C,17500.0,13.49,0.0,0.21,N,17
130,33.0,68000.0,Hipoteca,15.0,Personal,A,18000.0,7.9,0.0,0.26,N,10
131,25.0,55000.0,Hipoteca,9.0,Empreendimento,A,6500.0,7.49,0.0,0.12,N,3
132,54.0,125000.0,Hipoteca,13.0,Personal,A,12000.0,6.62,0.0,0.1,N,24
133,35.0,79500.0,Hipoteca,5.0,Personal,D,9600.0,14.61,0.0,0.12,S,5
134,26.0,74999.0,Aluguel,4.0,Melhora do lar,D,16000.0,17.27,0.0,0.21,S,4
135,36.0,23004.0,Aluguel,0.0,Personal,B,9450.0,10.37,1.0,0.41,N,13
136,23.0,51000.0,Aluguel,3.0,Pagamento de débitos,E,12000.0,17.99,1.0,0.24,S,4
137,27.0,55200.0,Aluguel,0.0,Educativo,A,4000.0,6.76,0.0,0.07,N,10
138,30.0,53196.0,Aluguel,14.0,Personal,A,3000.0,7.66,0.0,0.06,N,5
139,24.0,52000.0,Aluguel,3.0,Educativo,B,10000.0,12.42,0.0,0.19,N,2
140,25.0,115000.0,Aluguel,6.0,Médico,A,10000.0,7.29,0.0,0.09,N,4
141,25.0,150000.0,Hipoteca,4.0,Educativo,A,6000.0,7.66,0.0,0.04,N,3
142,26.0,90000.0,Aluguel,4.0,Personal,D,5000.0,16.77,0.0,0.06,S,3
143,35.0,95142.0,Hipoteca,18.0,Personal,D,12000.0,14.84,0.0,0.13,S,9
144,21.0,14400.0,Aluguel,2.0,Melhora do lar,B,3000.0,9.63,1.0,0.21,N,2
145,32.0,70000.0,Própria,1.0,Médico,A,14400.0,7.88,0.0,0.21,N,10
146,30.0,102489.0,Hipoteca,14.0,Personal,B,25000.0,12.18,0.0,0.24,N,7
147,23.0,44000.0,Aluguel,2.0,Médico,C,6000.0,14.22,0.0,0.14,S,4
148,24.0,48000.0,Aluguel,4.0,Pagamento de débitos,B,15200.0,11.48,1.0,0.32,N,3
149,35.0,100000.0,Hipoteca,14.0,Personal,A,10000.0,6.62,0.0,0.1,N,8
150,48.0,39000.0,Aluguel,7.0,Médico,D,5800.0,14.54,1.0,0.15,N,15
151,26.0,60000.0,Aluguel,5.0,Empreendimento,C,3000.0,15.62,0.0,0.05,N,2
152,25.0,59000.0,Aluguel,0.0,Médico,D,5000.0,15.62,1.0,0.08,S,3
153,26.0,49441.0,Própria,11.0,Melhora do lar,A,12000.0,6.99,0.0,0.24,N,4
154,38.0,74000.0,Aluguel,21.0,Pagamento de débitos,B,4000.0,11.26,0.0,0.05,N,14
155,22.0,50000.0,Hipoteca,6.0,Educativo,B,13000.0,10.65,0.0,0.26,N,3
156,25.0,44975.0,Aluguel,2.0,Médico,A,11000.0,6.99,0.0,0.24,N,4
157,23.0,40000.0,Própria,1.0,Empreendimento,B,15000.0,12.42,0.0,0.38,N,4
158,33.0,81804.0,Hipoteca,4.0,Pagamento de débitos,A,9000.0,8.0,0.0,0.11,N,8
159,29.0,84000.0,Hipoteca,11.0,Médico,A,15000.0,6.99,0.0,0.18,N,7
160,29.0,34000.0,Própria,2.0,Empreendimento,E,14400.0,16.0,0.0,0.42,S,7
161,26.0,62500.0,Aluguel,7.0,Médico,C,12000.0,12.23,0.0,0.19,S,4
162,29.0,24000.0,Aluguel,1.0,Médico,A,5000.0,6.92,0.0,0.21,N,10
163,25.0,34000.0,Hipoteca,9.0,Pagamento de débitos,B,10000.0,12.42,0.0,0.29,N,3
164,27.0,42000.0,Hipoteca,4.0,Personal,C,2850.0,13.48,1.0,0.07,N,7
165,27.0,40000.0,Aluguel,1.0,Pagamento de débitos,B,6000.0,11.99,0.0,0.15,N,6
166,22.0,25000.0,Aluguel,2.0,Personal,C,7000.0,13.85,0.0,0.28,S,3
167,23.0,39000.0,Aluguel,1.0,Personal,B,12000.0,10.99,1.0,0.31,N,2
168,35.0,35000.0,Hipoteca,4.0,Médico,C,5200.0,15.23,0.0,0.15,N,6
169,26.0,155142.0,Hipoteca,6.0,Personal,D,23000.0,18.25,0.0,0.15,N,2
170,34.0,160000.0,Hipoteca,1.0,Melhora do lar,A,23000.0,6.91,0.0,0.14,N,10
171,29.0,90000.0,Hipoteca,13.0,Pagamento de débitos,A,6000.0,6.03,0.0,0.07,N,5
172,26.0,43000.0,Aluguel,4.0,Educativo,C,10000.0,14.65,0.0,0.23,N,4
173,26.0,34988.0,Aluguel,9.0,Melhora do lar,C,15000.0,13.98,1.0,0.43,N,2
174,24.0,38400.0,Aluguel,8.0,Personal,E,3000.0,17.56,0.0,0.08,S,2
175,37.0,31200.0,Própria,1.0,Empreendimento,A,6600.0,5.42,0.0,0.21,N,12
176,27.0,28800.0,Aluguel,6.0,Médico,D,5000.0,14.96,0.0,0.17,S,5
177,22.0,40000.0,Aluguel,0.0,Personal,A,4000.0,7.43,0.0,0.1,N,4
178,22.0,27048.0,Aluguel,0.0,Educativo,C,10000.0,12.61,1.0,0.37,S,4
179,28.0,75000.0,Hipoteca,5.0,Médico,A,16800.0,6.03,0.0,0.22,N,8
180,28.0,35000.0,Aluguel,5.0,Médico,D,10000.0,14.61,0.0,0.29,N,7
181,41.0,40000.0,Aluguel,3.0,Personal,A,9200.0,7.49,0.0,0.23,N,13
182,23.0,25000.0,Aluguel,3.0,Médico,B,5600.0,11.11,0.0,0.22,N,4
183,28.0,53000.0,Aluguel,0.0,Médico,C,12000.0,14.72,0.0,0.23,N,8
184,33.0,62130.0,Aluguel,6.0,Melhora do lar,A,9050.0,7.29,0.0,0.15,N,7
185,22.0,50000.0,Aluguel,6.0,Educativo,D,11400.0,17.58,0.0,0.23,S,4
186,21.0,36000.0,Aluguel,0.0,Educativo,A,4500.0,6.62,0.0,0.13,N,2
187,25.0,23000.0,Aluguel,0.0,Educativo,C,2100.0,13.48,0.0,0.09,S,4
188,25.0,42000.0,Aluguel,6.0,Médico,A,5600.0,7.49,0.0,0.13,N,2
189,25.0,89000.0,Aluguel,4.0,Educativo,B,7000.0,10.99,0.0,0.08,N,3
190,21.0,30000.0,Aluguel,2.0,Empreendimento,B,7000.0,10.99,0.0,0.23,N,3
191,23.0,30000.0,Hipoteca,6.0,Educativo,A,10000.0,7.66,0.0,0.33,N,3
192,21.0,37000.0,Aluguel,0.0,Educativo,A,3000.0,6.39,0.0,0.08,N,3
193,35.0,60000.0,Própria,9.0,Personal,B,24000.0,12.53,0.0,0.4,N,9
194,23.0,72000.0,Aluguel,3.0,Personal,A,10000.0,6.91,0.0,0.14,N,2
195,26.0,42000.0,Aluguel,3.0,Empreendimento,A,12000.0,8.49,0.0,0.29,N,3
196,26.0,44000.0,Aluguel,10.0,Pagamento de débitos,D,14000.0,14.83,1.0,0.32,N,2
197,39.0,67000.0,Aluguel,6.0,Empreendimento,B,16000.0,10.99,0.0,0.24,N,16
198,25.0,50000.0,Aluguel,8.0,Educativo,C,4800.0,15.96,0.0,0.1,N,2
199,31.0,94350.0,Hipoteca,5.0,Médico,D,15000.0,15.37,1.0,0.14,N,8
200,33.0,135000.0,Própria,0.0,Melhora do lar,A,6275.0,6.91,0.0,0.05,N,7
201,40.0,62540.0,Hipoteca,5.0,Médico,F,7500.0,19.04,1.0,0.1,S,12
202,33.0,48000.0,Aluguel,4.0,Pagamento de débitos,B,3600.0,11.99,0.0,0.07,N,10
203,37.0,65000.0,Hipoteca,12.0,Personal,B,11000.0,9.91,0.0,0.17,N,16
204,27.0,130000.0,Hipoteca,3.0,Empreendimento,B,24000.0,10.99,0.0,0.18,N,10
205,33.0,67000.0,Aluguel,8.0,Melhora do lar,C,18000.0,13.11,1.0,0.27,S,7
206,29.0,68000.0,Aluguel,1.0,Médico,B,10000.0,10.65,0.0,0.15,N,5
207,32.0,55600.0,Própria,14.0,Educativo,B,8800.0,9.99,0.0,0.16,N,6
208,26.0,95000.0,Hipoteca,9.0,Empreendimento,D,17000.0,15.65,0.0,0.18,N,2
209,29.0,50000.0,Aluguel,2.0,Pagamento de débitos,B,10000.0,11.26,0.0,0.2,N,6
210,35.0,36000.0,Aluguel,4.0,Médico,E,9000.0,18.39,1.0,0.25,S,6
211,23.0,40000.0,Aluguel,0.0,Educativo,B,5000.0,12.42,0.0,0.13,N,4
212,22.0,30000.0,Hipoteca,4.0,Educativo,B,5000.0,11.89,1.0,0.17,N,4
213,32.0,103000.0,Hipoteca,0.0,Personal,E,33000.0,18.64,1.0,0.32,N,6
214,35.0,88000.0,Hipoteca,18.0,Médico,B,9800.0,12.69,0.0,0.11,N,10
215,22.0,70000.0,Hipoteca,2.0,Educativo,A,5000.0,6.03,0.0,0.07,N,2
216,32.0,65000.0,Hipoteca,6.0,Personal,B,5600.0,11.58,0.0,0.09,N,5
217,29.0,68000.0,Aluguel,1.0,Educativo,B,10000.0,10.65,0.0,0.15,N,5
218,22.0,48000.0,Hipoteca,6.0,Educativo,A,9925.0,9.63,0.0,0.21,N,2
219,30.0,115000.0,Hipoteca,3.0,Pagamento de débitos,D,20000.0,14.59,1.0,0.17,N,7
220,49.0,120000.0,Hipoteca,12.0,Médico,B,12000.0,10.99,0.0,0.1,N,12
221,23.0,60000.0,Aluguel,4.0,Pagamento de débitos,B,24750.0,9.33,1.0,0.41,N,3
222,28.0,30996.0,Aluguel,7.0,Médico,B,4000.0,10.65,0.0,0.13,N,5
223,29.0,70000.0,Hipoteca,5.0,Pagamento de débitos,C,10000.0,13.85,0.0,0.14,N,7
224,47.0,18000.0,Aluguel,0.0,Melhora do lar,D,1000.0,14.84,1.0,0.06,S,16
225,27.0,157544.0,Hipoteca,8.0,Empreendimento,C,35000.0,12.99,0.0,0.22,N,8
226,34.0,52809.0,Aluguel,18.0,Pagamento de débitos,B,13000.0,10.62,0.0,0.25,N,8
227,34.0,57912.0,Hipoteca,7.0,Empreendimento,A,5600.0,5.42,0.0,0.1,N,8
228,22.0,20160.0,Aluguel,1.0,Educativo,A,2600.0,6.92,0.0,0.13,N,4
229,41.0,42000.0,Aluguel,0.0,Empreendimento,C,4000.0,13.43,0.0,0.1,N,14
230,58.0,780000.0,Hipoteca,7.0,Personal,A,4500.0,6.91,0.0,0.01,N,19
231,35.0,125000.0,Aluguel,6.0,Pagamento de débitos,C,7000.0,13.06,0.0,0.06,S,5
232,24.0,83050.0,Hipoteca,5.0,Educativo,C,10000.0,13.49,0.0,0.12,S,3
233,28.0,35600.0,Aluguel,3.0,Educativo,A,4000.0,7.49,0.0,0.11,N,6
234,22.0,95000.0,Hipoteca,2.0,Pagamento de débitos,A,24000.0,7.9,0.0,0.25,N,4
235,27.0,24500.0,Aluguel,3.0,Médico,B,10000.0,10.25,1.0,0.41,N,7
236,24.0,32000.0,Hipoteca,5.0,Melhora do lar,A,6000.0,5.42,0.0,0.19,N,4
237,23.0,43000.0,Aluguel,7.0,Educativo,A,1000.0,7.51,0.0,0.02,N,3
238,41.0,34800.0,Aluguel,4.0,Pagamento de débitos,B,5000.0,11.99,0.0,0.14,N,14
239,22.0,29654.0,Aluguel,3.0,Educativo,C,7000.0,14.22,1.0,0.24,N,3
240,30.0,144997.0,Hipoteca,14.0,Personal,B,25000.0,11.83,0.0,0.17,N,5
241,39.0,119000.0,Aluguel,2.0,Educativo,A,10800.0,7.49,0.0,0.09,N,13
242,34.0,60000.0,Aluguel,3.0,Empreendimento,A,12000.0,6.92,0.0,0.2,N,9
243,31.0,27600.0,Própria,1.0,Educativo,B,3000.0,11.49,0.0,0.11,N,9
244,29.0,63996.0,Própria,8.0,Personal,C,12000.0,12.61,0.0,0.19,N,5
245,26.0,83000.0,Aluguel,6.0,Médico,C,7000.0,13.49,0.0,0.08,S,3
246,30.0,36000.0,Hipoteca,2.0,Empreendimento,A,3000.0,6.39,0.0,0.08,N,10
247,28.0,40000.0,Aluguel,0.0,Educativo,B,10000.0,12.42,0.0,0.25,N,5
248,23.0,29120.0,Própria,0.0,Educativo,A,6400.0,8.94,0.0,0.22,N,4
249,28.0,61500.0,Aluguel,1.0,Melhora do lar,B,4000.0,10.95,0.0,0.07,N,8
250,31.0,43200.0,Hipoteca,0.0,Empreendimento,A,3000.0,8.9,0.0,0.07,N,6
251,29.0,46000.0,Hipoteca,3.0,Empreendimento,B,6000.0,11.49,0.0,0.13,N,5
252,22.0,44684.0,Aluguel,1.0,Pagamento de débitos,C,8000.0,12.04,0.0,0.18,S,2
253,21.0,30000.0,Aluguel,3.0,Empreendimento,C,5000.0,13.92,0.0,0.17,N,4
254,24.0,92000.0,Aluguel,8.0,Médico,B,24500.0,11.46,0.0,0.27,N,4
255,27.0,68000.0,Aluguel,0.0,Pagamento de débitos,A,6500.0,7.51,0.0,0.1,N,7
256,22.0,32244.0,Aluguel,2.0,Empreendimento,B,11100.0,12.21,1.0,0.34,N,3
257,29.0,68500.0,Aluguel,4.0,Empreendimento,B,10000.0,12.53,0.0,0.15,N,7
258,23.0,70000.0,Hipoteca,3.0,Empreendimento,A,15000.0,8.49,0.0,0.21,N,2
259,25.0,100000.0,Hipoteca,9.0,Médico,A,3275.0,5.42,0.0,0.03,N,2
260,26.0,50000.0,Hipoteca,7.0,Empreendimento,A,7200.0,6.62,0.0,0.14,N,2
261,34.0,47300.0,Hipoteca,3.0,Melhora do lar,A,12000.0,7.88,0.0,0.25,N,10
262,22.0,66000.0,Própria,6.0,Pagamento de débitos,D,7500.0,17.58,0.0,0.11,S,4
263,28.0,90000.0,Hipoteca,5.0,Empreendimento,B,25000.0,11.86,0.0,0.28,N,6
264,25.0,32004.0,Hipoteca,3.0,Personal,A,22750.0,6.17,0.0,0.71,N,4
265,56.0,90000.0,Hipoteca,0.0,Personal,A,7200.0,6.17,0.0,0.08,N,21
266,23.0,30000.0,Hipoteca,0.0,Pagamento de débitos,C,1000.0,13.72,0.0,0.03,N,4
267,24.0,37000.0,Hipoteca,0.0,Médico,C,8500.0,12.53,1.0,0.23,S,2
268,24.0,54000.0,Aluguel,8.0,Melhora do lar,B,6800.0,10.59,0.0,0.13,N,3
269,35.0,31577.0,Aluguel,6.0,Médico,B,5000.0,9.99,0.0,0.16,N,9
270,34.0,30000.0,Aluguel,5.0,Médico,A,4200.0,5.79,0.0,0.14,N,8
271,24.0,98000.0,Hipoteca,8.0,Empreendimento,A,10000.0,6.62,0.0,0.1,N,3
