,idade_pessoa,salario_pessoa,situacao_propriedade_pessoa,tempo_trabalhado_pessoa,motivo_emprestimo,pontuacao_emprestimo,valor_emprestimo,taxa_juros_emprestimo,status_emprestimo,porcentagem_salario_emprestimo,foi_inadimplente_cb,tempo_primeira_solicitacao_credito_cb
25,1,2,1,4.0,3,5,19,17.56,1.0,0.33,0,0.2
26,2,2,1,2.0,5,2,10,9.45,0.0,0.14,0,0.3
27,1,1,1,2.0,1,1,3,6.03,0.0,0.1,0,0.3
28,3,1,2,2.0,1,1,4,5.99,0.0,0.11,0,0.6
29,1,2,2,7.0,2,3,10,13.99,0.0,0.18,1,0.3
30,2,2,1,1.0,4,3,3,13.04,0.0,0.04,0,0.7
31,1,2,1,5.0,6,3,12,13.11,1.0,0.26,1,0.4
32,1,2,2,5.0,3,2,6,9.91,0.0,0.15,0,0.2
33,1,2,1,6.0,3,2,14,12.21,0.0,0.25,0,0.3
34,3,2,1,1.0,2,2,7,10.99,0.0,0.08,0,1.0
35,1,2,1,5.0,4,2,2,11.99,0.0,0.03,0,0.2
36,3,3,2,2.0,6,2,11,10.0,0.0,0.08,0,0.8
37,2,2,2,14.0,1,2,8,9.91,0.0,0.11,0,0.5
38,1,3,2,2.0,2,2,20,11.49,0.0,0.11,0,0.3
39,3,3,2,15.0,5,3,25,12.73,0.0,0.21,1,0.9
40,4,1,1,0.0,3,4,10,16.77,1.0,0.4,0,1.5
41,2,2,2,7.0,1,3,9,13.49,0.0,0.14,0,0.8
42,2,3,2,12.0,6,2,15,11.89,0.0,0.1,0,0.9
43,1,1,2,1.0,1,2,6,9.63,0.0,0.23,0,0.3
44,1,2,2,6.0,3,2,20,11.83,0.0,0.42,0,0.3
45,3,1,2,1.0,3,2,6,9.76,0.0,0.15,0,1.6
46,2,2,1,3.0,2,4,11,15.33,1.0,0.27,1,0.5
47,1,2,1,8.0,4,4,25,15.7,1.0,0.31,1,0.2
48,2,2,1,3.0,1,1,20,7.49,0.0,0.25,0,0.9
49,2,2,2,10.0,1,1,4,9.32,0.0,0.06,0,0.4
50,3,2,1,0.0,3,1,6,6.99,0.0,0.11,0,1.3
51,1,3,2,7.0,5,1,15,7.91,0.0,0.09,0,0.4
52,3,1,1,2.0,4,3,6,13.57,0.0,0.18,0,1.6
53,1,2,3,9.0,6,3,2,14.22,0.0,0.02,1,0.3
54,1,1,1,3.0,1,2,2,10.59,1.0,0.13,0,0.2
55,1,1,2,1.0,5,4,3,16.07,1.0,0.12,0,0.3
56,1,2,1,0.0,3,3,10,12.98,0.0,0.22,1,0.2
57,2,2,2,5.0,5,1,10,5.99,0.0,0.16,0,0.8
58,2,3,1,3.0,4,5,25,17.56,0.0,0.17,0,0.5
59,2,3,1,2.0,3,4,25,15.65,1.0,0.28,0,0.3
60,1,2,2,8.0,3,3,24,15.96,1.0,0.31,0,0.4
61,1,3,2,5.0,3,1,35,7.66,0.0,0.22,0,0.3
62,1,2,1,4.0,3,1,5,8.49,0.0,0.08,0,0.3
63,3,3,2,1.0,6,2,25,10.39,0.0,0.25,0,0.8
64,1,1,1,2.0,2,4,6,14.42,1.0,0.28,0,0.4
65,1,1,1,5.0,2,3,11,14.22,1.0,0.38,0,0.2
66,4,3,2,9.0,6,4,12,14.96,0.0,0.12,1,1.1
67,3,1,1,0.0,4,3,5,10.59,1.0,0.33,0,1.1
68,1,2,1,6.0,2,2,12,11.49,0.0,0.16,0,0.4
69,3,1,4,3.0,5,1,12,7.88,1.0,0.45,0,0.5
70,2,2,1,3.0,1,4,10,15.05,0.0,0.15,0,0.4
71,3,3,2,3.0,1,1,5,6.91,0.0,0.06,0,1.5
72,2,3,2,8.0,2,1,5,5.99,0.0,0.04,0,0.5
73,2,1,2,7.0,3,1,6,7.88,0.0,0.21,0,0.3
74,2,2,1,2.0,4,3,25,10.59,1.0,0.52,0,0.7
75,2,2,1,7.0,6,3,16,13.85,0.0,0.2,1,0.2
76,2,3,1,9.0,5,1,6,7.14,0.0,0.04,0,1.0
77,3,1,1,5.0,2,3,6,12.29,0.0,0.16,0,1.7
78,3,3,3,8.0,3,1,8,6.92,0.0,0.05,0,1.3
79,2,3,2,6.0,3,1,5,8.94,0.0,0.06,0,0.5
80,1,3,2,3.0,3,2,12,11.11,0.0,0.12,0,0.3
81,3,3,2,9.0,4,1,8,7.14,0.0,0.08,0,0.9
82,1,1,1,2.0,6,4,12,15.31,1.0,0.33,0,0.2
83,3,2,1,6.0,4,2,5,9.99,0.0,0.14,0,1.4
84,1,1,2,4.0,2,4,4,15.21,1.0,0.12,0,0.2
85,2,2,1,12.0,5,3,5,14.26,0.0,0.07,1,0.8
86,3,2,1,2.0,6,3,3,10.59,1.0,0.04,0,1.4
87,3,2,2,5.0,2,2,20,8.88,0.0,0.24,0,0.5
88,2,3,2,10.0,2,1,17,8.94,0.0,0.15,0,0.3
89,1,2,1,6.0,5,2,22,11.26,1.0,0.28,0,0.3
90,1,3,1,4.0,1,4,8,14.61,0.0,0.07,1,0.4
91,1,1,1,3.0,4,4,10,14.11,1.0,0.4,1,0.2
92,1,2,2,8.0,1,3,3,13.47,0.0,0.06,0,0.2
93,3,2,1,2.0,1,2,4,9.99,0.0,0.1,0,0.7
94,3,3,2,6.0,2,2,15,11.83,0.0,0.06,0,1.5
95,2,2,1,13.0,2,3,15,13.72,0.0,0.19,1,0.5
96,2,1,2,6.0,4,1,10,7.9,0.0,0.3,0,0.2
97,1,3,2,2.0,2,1,15,6.03,0.0,0.13,0,0.4
98,1,2,2,8.0,5,1,15,9.63,0.0,0.2,0,0.3
99,1,2,1,2.0,5,1,10,9.63,0.0,0.14,0,0.3
100,1,2,1,0.0,1,4,6,14.46,1.0,0.13,1,0.2
101,1,2,1,5.0,3,2,5,11.49,0.0,0.07,0,0.3
102,1,2,1,5.0,3,2,10,9.91,0.0,0.27,0,0.2
103,2,2,1,7.0,2,4,8,15.05,1.0,0.17,0,0.6
104,2,2,1,2.0,1,4,2,16.89,1.0,0.04,0,0.5
105,3,1,1,15.0,5,1,3,7.4,1.0,0.27,0,0.9
106,2,2,2,10.0,1,1,5,9.32,0.0,0.1,0,0.2
107,1,2,1,3.0,3,1,2,5.79,0.0,0.03,0,0.3
108,2,2,1,6.0,5,3,3,14.82,0.0,0.05,1,0.2
109,3,1,1,6.0,2,2,7,10.37,0.0,0.22,0,1.1
110,3,2,1,0.0,5,1,9,8.59,0.0,0.2,0,1.6
111,2,3,2,6.0,3,1,10,6.91,0.0,0.11,0,0.8
112,4,2,2,8.0,4,2,5,11.99,0.0,0.06,0,1.7
113,3,2,2,5.0,1,2,15,10.36,0.0,0.23,0,1.7
114,1,2,1,0.0,3,1,10,6.99,0.0,0.15,0,0.3
115,3,3,1,2.0,4,2,9,10.59,0.0,0.06,0,0.7
116,3,2,1,7.0,4,3,20,12.68,1.0,0.32,0,1.3
117,3,2,2,11.0,1,1,8,7.9,0.0,0.12,0,1.1
118,3,1,2,15.0,4,1,7,7.14,0.0,0.19,0,0.8
119,1,2,1,6.0,1,3,8,11.34,0.0,0.13,1,0.4
120,3,3,2,8.0,6,1,15,6.17,0.0,0.15,0,1.0
121,1,2,1,3.0,1,1,14,7.88,0.0,0.3,0,0.3
122,1,2,2,9.0,1,3,5,11.78,1.0,0.12,1,0.3
123,2,2,2,4.0,3,2,3,11.99,0.0,0.06,0,0.6
124,4,2,1,3.0,4,1,10,8.94,0.0,0.17,0,1.7
125,3,3,2,15.0,5,1,24,8.49,0.0,0.19,0,0.5
126,2,2,1,6.0,5,1,7,6.17,0.0,0.14,0,0.8
127,4,2,1,7.0,2,4,9,16.32,1.0,0.23,1,1.5
128,3,2,1,2.0,5,3,6,13.23,0.0,0.1,0,0.9
129,4,2,1,1.0,6,3,18,13.49,0.0,0.21,0,1.7
130,3,2,2,15.0,4,1,18,7.9,0.0,0.26,0,1.0
131,1,2,2,9.0,3,1,7,7.49,0.0,0.12,0,0.3
132,5,3,2,13.0,4,1,12,6.62,0.0,0.1,0,2.4
133,3,2,2,5.0,4,4,10,14.61,0.0,0.12,1,0.5
134,2,2,1,4.0,6,4,16,17.27,0.0,0.21,1,0.4
135,3,1,1,0.0,4,2,10,10.37,1.0,0.41,0,1.3
136,1,2,1,3.0,5,5,12,17.99,1.0,0.24,1,0.4
137,2,2,1,0.0,1,1,4,6.76,0.0,0.07,0,1.0
138,2,2,1,14.0,4,1,3,7.66,0.0,0.06,0,0.5
139,1,2,1,3.0,1,2,10,12.42,0.0,0.19,0,0.2
140,1,3,1,6.0,2,1,10,7.29,0.0,0.09,0,0.4
141,1,3,2,4.0,1,1,6,7.66,0.0,0.04,0,0.3
142,2,3,1,4.0,4,4,5,16.77,0.0,0.06,1,0.3
143,3,3,2,18.0,4,4,12,14.84,0.0,0.13,1,0.9
144,1,1,1,2.0,6,2,3,9.63,1.0,0.21,0,0.2
145,3,2,3,1.0,2,1,15,7.88,0.0,0.21,0,1.0
146,2,3,2,14.0,4,2,25,12.18,0.0,0.24,0,0.7
147,1,2,1,2.0,2,3,6,14.22,0.0,0.14,1,0.4
148,1,2,1,4.0,5,2,16,11.48,1.0,0.32,0,0.3
149,3,3,2,14.0,4,1,10,6.62,0.0,0.1,0,0.8
150,4,2,1,7.0,2,4,6,14.54,1.0,0.15,0,1.5
151,2,2,1,5.0,3,3,3,15.62,0.0,0.05,0,0.2
152,1,2,1,0.0,2,4,5,15.62,1.0,0.08,1,0.3
153,2,2,3,11.0,6,1,12,6.99,0.0,0.24,0,0.4
154,3,2,1,21.0,5,2,4,11.26,0.0,0.05,0,1.4
155,1,2,2,6.0,1,2,13,10.65,0.0,0.26,0,0.3
156,1,2,1,2.0,2,1,11,6.99,0.0,0.24,0,0.4
157,1,2,3,1.0,3,2,15,12.42,0.0,0.38,0,0.4
158,3,2,2,4.0,5,1,9,8.0,0.0,0.11,0,0.8
159,2,2,2,11.0,2,1,15,6.99,0.0,0.18,0,0.7
160,2,1,3,2.0,3,5,15,16.0,0.0,0.42,1,0.7
161,2,2,1,7.0,2,3,12,12.23,0.0,0.19,1,0.4
162,2,1,1,1.0,2,1,5,6.92,0.0,0.21,0,1.0
163,1,1,2,9.0,5,2,10,12.42,0.0,0.29,0,0.3
164,2,2,2,4.0,4,3,3,13.48,1.0,0.07,0,0.7
165,2,2,1,1.0,5,2,6,11.99,0.0,0.15,0,0.6
166,1,1,1,2.0,4,3,7,13.85,0.0,0.28,1,0.3
167,1,2,1,1.0,4,2,12,10.99,1.0,0.31,0,0.2
168,3,2,2,4.0,2,3,6,15.23,0.0,0.15,0,0.6
169,2,3,2,6.0,4,4,23,18.25,0.0,0.15,0,0.2
170,3,3,2,1.0,6,1,23,6.91,0.0,0.14,0,1.0
171,2,3,2,13.0,5,1,6,6.03,0.0,0.07,0,0.5
172,2,2,1,4.0,1,3,10,14.65,0.0,0.23,0,0.4
173,2,2,1,9.0,6,3,15,13.98,1.0,0.43,0,0.2
174,1,2,1,8.0,4,5,3,17.56,0.0,0.08,1,0.2
175,3,1,3,1.0,3,1,7,5.42,0.0,0.21,0,1.2
176,2,1,1,6.0,2,4,5,14.96,0.0,0.17,1,0.5
177,1,2,1,0.0,4,1,4,7.43,0.0,0.1,0,0.4
178,1,1,1,0.0,1,3,10,12.61,1.0,0.37,1,0.4
179,2,2,2,5.0,2,1,17,6.03,0.0,0.22,0,0.8
180,2,2,1,5.0,2,4,10,14.61,0.0,0.29,0,0.7
181,4,2,1,3.0,4,1,10,7.49,0.0,0.23,0,1.3
182,1,1,1,3.0,2,2,6,11.11,0.0,0.22,0,0.4
183,2,2,1,0.0,2,3,12,14.72,0.0,0.23,0,0.8
184,3,2,1,6.0,6,1,10,7.29,0.0,0.15,0,0.7
185,1,2,1,6.0,1,4,12,17.58,0.0,0.23,1,0.4
186,1,2,1,0.0,1,1,5,6.62,0.0,0.13,0,0.2
187,1,1,1,0.0,1,3,3,13.48,0.0,0.09,1,0.4
188,1,2,1,6.0,2,1,6,7.49,0.0,0.13,0,0.2
189,1,3,1,4.0,1,2,7,10.99,0.0,0.08,0,0.3
190,1,1,1,2.0,3,2,7,10.99,0.0,0.23,0,0.3
191,1,1,2,6.0,1,1,10,7.66,0.0,0.33,0,0.3
192,1,2,1,0.0,1,1,3,6.39,0.0,0.08,0,0.3
193,3,2,3,9.0,4,2,24,12.53,0.0,0.4,0,0.9
194,1,2,1,3.0,4,1,10,6.91,0.0,0.14,0,0.2
195,2,2,1,3.0,3,1,12,8.49,0.0,0.29,0,0.3
196,2,2,1,10.0,5,4,14,14.83,1.0,0.32,0,0.2
197,3,2,1,6.0,3,2,16,10.99,0.0,0.24,0,1.6
198,1,2,1,8.0,1,3,5,15.96,0.0,0.1,0,0.2
199,3,3,2,5.0,2,4,15,15.37,1.0,0.14,0,0.8
200,3,3,3,0.0,6,1,7,6.91,0.0,0.05,0,0.7
201,3,2,2,5.0,2,6,8,19.04,1.0,0.1,1,1.2
202,3,2,1,4.0,5,2,4,11.99,0.0,0.07,0,1.0
203,3,2,2,12.0,4,2,11,9.91,0.0,0.17,0,1.6
204,2,3,2,3.0,3,2,24,10.99,0.0,0.18,0,1.0
205,3,2,1,8.0,6,3,18,13.11,1.0,0.27,1,0.7
206,2,2,1,1.0,2,2,10,10.65,0.0,0.15,0,0.5
207,3,2,3,14.0,1,2,9,9.99,0.0,0.16,0,0.6
208,2,3,2,9.0,3,4,17,15.65,0.0,0.18,0,0.2
209,2,2,1,2.0,5,2,10,11.26,0.0,0.2,0,0.6
210,3,2,1,4.0,2,5,9,18.39,1.0,0.25,1,0.6
211,1,2,1,0.0,1,2,5,12.42,0.0,0.13,0,0.4
212,1,1,2,4.0,1,2,5,11.89,1.0,0.17,0,0.4
213,3,3,2,0.0,4,5,33,18.64,1.0,0.32,0,0.6
214,3,3,2,18.0,2,2,10,12.69,0.0,0.11,0,1.0
215,1,2,2,2.0,1,1,5,6.03,0.0,0.07,0,0.2
216,3,2,2,6.0,4,2,6,11.58,0.0,0.09,0,0.5
217,2,2,1,1.0,1,2,10,10.65,0.0,0.15,0,0.5
218,1,2,2,6.0,1,1,10,9.63,0.0,0.21,0,0.2
219,2,3,2,3.0,5,4,20,14.59,1.0,0.17,0,0.7
220,4,3,2,12.0,2,2,12,10.99,0.0,0.1,0,1.2
221,1,2,1,4.0,5,2,25,9.33,1.0,0.41,0,0.3
222,2,1,1,7.0,2,2,4,10.65,0.0,0.13,0,0.5
223,2,2,2,5.0,5,3,10,13.85,0.0,0.14,0,0.7
224,4,1,1,0.0,6,4,1,14.84,1.0,0.06,1,1.6
225,2,3,2,8.0,3,3,35,12.99,0.0,0.22,0,0.8
226,3,2,1,18.0,5,2,13,10.62,0.0,0.25,0,0.8
227,3,2,2,7.0,3,1,6,5.42,0.0,0.1,0,0.8
228,1,1,1,1.0,1,1,3,6.92,0.0,0.13,0,0.4
229,4,2,1,0.0,3,3,4,13.43,0.0,0.1,0,1.4
230,5,4,2,7.0,4,1,5,6.91,0.0,0.01,0,1.9
231,3,3,1,6.0,5,3,7,13.06,0.0,0.06,1,0.5
232,1,2,2,5.0,1,3,10,13.49,0.0,0.12,1,0.3
233,2,2,1,3.0,1,1,4,7.49,0.0,0.11,0,0.6
234,1,3,2,2.0,5,1,24,7.9,0.0,0.25,0,0.4
235,2,1,1,3.0,2,2,10,10.25,1.0,0.41,0,0.7
236,1,1,2,5.0,6,1,6,5.42,0.0,0.19,0,0.4
237,1,2,1,7.0,1,1,1,7.51,0.0,0.02,0,0.3
238,4,1,1,4.0,5,2,5,11.99,0.0,0.14,0,1.4
239,1,1,1,3.0,1,3,7,14.22,1.0,0.24,0,0.3
240,2,3,2,14.0,4,2,25,11.83,0.0,0.17,0,0.5
241,3,3,1,2.0,1,1,11,7.49,0.0,0.09,0,1.3
242,3,2,1,3.0,3,1,12,6.92,0.0,0.2,0,0.9
243,3,1,3,1.0,1,2,3,11.49,0.0,0.11,0,0.9
244,2,2,3,8.0,4,3,12,12.61,0.0,0.19,0,0.5
245,2,2,1,6.0,2,3,7,13.49,0.0,0.08,1,0.3
246,2,2,2,2.0,3,1,3,6.39,0.0,0.08,0,1.0
247,2,2,1,0.0,1,2,10,12.42,0.0,0.25,0,0.5
248,1,1,3,0.0,1,1,7,8.94,0.0,0.22,0,0.4
249,2,2,1,1.0,6,2,4,10.95,0.0,0.07,0,0.8
250,3,2,2,0.0,3,1,3,8.9,0.0,0.07,0,0.6
251,2,2,2,3.0,3,2,6,11.49,0.0,0.13,0,0.5
252,1,2,1,1.0,5,3,8,12.04,0.0,0.18,1,0.2
253,1,1,1,3.0,3,3,5,13.92,0.0,0.17,0,0.4
254,1,3,1,8.0,2,2,25,11.46,0.0,0.27,0,0.4
255,2,2,1,0.0,5,1,7,7.51,0.0,0.1,0,0.7
256,1,1,1,2.0,3,2,12,12.21,1.0,0.34,0,0.3
257,2,2,1,4.0,3,2,10,12.53,0.0,0.15,0,0.7
258,1,2,2,3.0,3,1,15,8.49,0.0,0.21,0,0.2
259,1,3,2,9.0,2,1,4,5.42,0.0,0.03,0,0.2
260,2,2,2,7.0,3,1,8,6.62,0.0,0.14,0,0.2
261,3,2,2,3.0,6,1,12,7.88,0.0,0.25,0,1.0
262,1,2,3,6.0,5,4,8,17.58,0.0,0.11,1,0.4
263,2,3,2,5.0,3,2,25,11.86,0.0,0.28,0,0.6
264,1,1,2,3.0,4,1,23,6.17,0.0,0.71,0,0.4
265,5,3,2,0.0,4,1,8,6.17,0.0,0.08,0,2.1
266,1,1,2,0.0,5,3,1,13.72,0.0,0.03,0,0.4
267,1,2,2,0.0,2,3,9,12.53,1.0,0.23,1,0.2
268,1,2,1,8.0,6,2,7,10.59,0.0,0.13,0,0.3
269,3,1,1,6.0,2,2,5,9.99,0.0,0.16,0,0.9
270,3,1,1,5.0,2,1,5,5.79,0.0,0.14,0,0.8
271,1,3,2,8.0,3,1,10,6.62,0.0,0.1,0,0.3
272,2,3,2,0.0,2,3,10,13.35,0.0,0.08,1,0.7
273,2,3,2,5.0,4,7,25,18.84,1.0,0.22,1,0.7
274,2,1,1,0.0,2,2,3,10.99,1.0,0.23,0,0.6
275,2,3,1,2.0,2,2,6,11.46,0.0,0.03,0,0.6
276,2,1,1,2.0,4,2,8,12.18,1.0,0.25,0,0.3
277,1,3,2,5.0,5,1,10,6.54,0.0,0.09,0,0.2
278,2,2,3,5.0,4,3,21,14.65,0.0,0.26,1,0.5
279,2,3,2,11.0,3,3,18,13.48,0.0,0.19,0,0.5
280,1,2,2,5.0,5,2,10,12.53,0.0,0.12,0,0.4
281,2,2,1,4.0,5,1,4,5.99,0.0,0.06,0,0.4
282,1,2,1,0.0,3,1,9,7.66,0.0,0.21,0,0.2
283,1,3,2,7.0,1,3,10,14.27,0.0,0.09,0,0.2
284,2,3,2,1.0,5,3,16,13.43,0.0,0.16,0,0.5
285,1,1,1,1.0,2,6,5,21.36,1.0,0.15,0,0.2
286,2,2,3,2.0,1,2,5,10.37,0.0,0.08,0,0.9
287,3,2,2,6.0,4,1,15,7.51,0.0,0.33,0,0.5
288,3,2,2,10.0,1,3,17,14.27,0.0,0.23,1,1.0
289,1,1,1,3.0,5,1,3,7.14,1.0,0.08,0,0.4
290,1,2,1,1.0,3,2,16,11.99,0.0,0.19,0,0.3
291,1,2,1,3.0,4,4,34,14.54,1.0,0.42,1,0.4
292,2,1,2,12.0,5,3,3,10.78,1.0,0.19,1,0.6
293,2,2,2,1.0,3,1,13,7.9,0.0,0.23,0,0.6
294,1,2,1,0.0,1,1,12,7.9,0.0,0.3,0,0.4
295,1,2,3,4.0,1,4,5,14.61,0.0,0.14,0,0.2
296,1,2,2,7.0,1,1,10,7.88,0.0,0.13,0,0.4
297,2,3,1,1.0,1,2,10,10.0,0.0,0.11,0,0.5
298,1,2,2,7.0,1,1,9,8.49,0.0,0.15,0,0.3
299,2,4,3,9.0,6,2,10,10.38,0.0,0.03,0,0.4
300,3,1,1,13.0,2,1,7,8.63,0.0,0.28,0,0.6
301,1,2,1,6.0,2,2,11,9.88,0.0,0.24,0,0.2
302,1,3,2,7.0,1,2,8,10.36,0.0,0.09,0,0.3
303,2,2,1,9.0,4,2,2,10.59,0.0,0.03,0,0.8
304,2,2,2,1.0,2,3,7,14.26,0.0,0.1,1,0.4
305,5,3,1,1.0,1,1,12,6.91,0.0,0.11,0,2.3
306,1,2,1,6.0,5,1,12,6.03,0.0,0.26,0,0.3
307,2,2,1,4.0,5,3,8,12.84,1.0,0.2,1,1.0
308,1,2,1,1.0,1,1,3,9.07,1.0,0.05,0,0.2
309,2,2,1,10.0,6,3,8,13.49,0.0,0.11,1,0.4
310,1,2,2,7.0,1,3,15,12.99,0.0,0.19,1,0.4
311,1,2,1,0.0,5,1,10,7.66,0.0,0.12,0,0.3
312,3,4,1,7.0,6,4,11,15.7,0.0,0.03,0,0.9
313,1,3,2,8.0,2,1,17,6.17,0.0,0.13,0,0.4
314,1,1,1,1.0,2,2,15,9.91,1.0,0.43,0,0.3
315,1,2,2,9.0,3,1,19,7.9,0.0,0.37,0,0.4
316,2,2,2,4.0,4,2,22,12.42,0.0,0.44,0,0.9
317,4,1,1,4.0,2,1,2,7.29,0.0,0.11,0,1.1
318,1,2,1,4.0,1,3,14,12.23,0.0,0.17,0,0.4
319,2,2,2,10.0,5,4,7,15.99,1.0,0.09,1,0.3
320,2,3,2,4.0,2,2,6,11.63,0.0,0.06,0,0.5
321,1,2,2,0.0,4,2,15,11.89,0.0,0.25,0,0.2
322,3,1,1,2.0,4,1,3,7.49,0.0,0.13,0,0.8
323,2,2,2,0.0,6,3,18,13.06,0.0,0.21,0,0.5
324,1,2,3,6.0,1,2,15,10.99,0.0,0.4,0,0.3
325,1,2,1,6.0,4,3,10,13.72,0.0,0.12,1,0.2
326,5,3,3,24.0,4,1,6,5.42,0.0,0.06,0,3.0
327,1,2,3,5.0,3,1,10,5.79,0.0,0.22,0,0.3
328,1,2,2,2.0,4,1,9,7.14,0.0,0.2,0,0.3
329,2,1,3,3.0,4,1,8,8.9,1.0,0.42,0,0.8
330,3,1,2,3.0,4,1,10,8.49,0.0,0.32,0,0.8
331,1,3,1,8.0,4,2,3,10.25,0.0,0.03,0,0.3
332,1,2,2,6.0,6,1,7,6.03,0.0,0.16,0,0.3
333,2,2,2,2.0,4,4,8,14.96,0.0,0.13,1,0.2
334,1,2,4,1.0,1,5,20,15.57,1.0,0.4,0,0.4
335,2,3,2,0.0,6,2,20,10.37,0.0,0.08,0,0.6
336,4,2,2,3.0,1,1,12,5.99,0.0,0.16,0,1.6
337,1,2,1,3.0,3,2,2,10.95,0.0,0.01,0,0.2
338,3,3,1,2.0,3,2,8,10.99,0.0,0.06,0,1.0
339,2,3,1,0.0,1,4,8,14.61,1.0,0.08,0,1.0
340,1,2,2,3.0,4,2,12,11.99,0.0,0.32,0,0.4
341,1,1,3,0.0,5,3,3,12.87,1.0,0.23,1,0.4
342,1,2,2,9.0,2,2,3,10.65,1.0,0.04,0,0.2
343,1,3,2,4.0,6,2,25,10.74,0.0,0.19,0,0.3
344,1,2,1,4.0,3,4,3,15.31,0.0,0.05,1,0.2
345,1,2,1,0.0,1,1,3,8.49,0.0,0.07,0,0.4
346,2,1,1,3.0,2,4,5,14.12,1.0,0.15,0,0.7
347,2,1,1,2.0,4,3,8,13.22,0.0,0.27,1,0.9
348,4,3,2,0.0,2,1,22,6.99,0.0,0.14,0,1.6
349,2,3,2,4.0,6,3,8,13.92,0.0,0.06,0,0.3
350,1,1,1,3.0,1,3,5,14.26,0.0,0.14,1,0.3
351,3,2,1,5.0,1,3,7,12.99,0.0,0.17,1,0.7
352,1,2,2,0.0,5,1,12,6.92,0.0,0.16,0,0.4
353,2,2,2,7.0,2,2,4,11.86,0.0,0.06,0,0.6
354,1,2,3,1.0,1,3,15,13.47,0.0,0.21,1,0.3
355,1,2,1,3.0,1,2,25,11.86,1.0,0.36,0,0.4
356,1,3,2,8.0,6,1,10,7.75,0.0,0.09,0,0.4
357,1,2,1,4.0,1,1,6,7.49,0.0,0.09,0,0.3
358,2,2,2,1.0,5,1,15,6.62,0.0,0.42,0,0.9
359,3,1,1,1.0,1,1,1,8.0,0.0,0.04,0,1.6
360,1,2,2,9.0,4,3,11,13.92,0.0,0.17,1,0.4
361,2,2,1,6.0,5,1,5,5.99,1.0,0.13,0,0.7
362,1,2,1,5.0,3,1,6,6.99,0.0,0.07,0,0.3
363,1,1,2,6.0,5,3,5,13.23,0.0,0.17,0,0.4
364,2,3,1,6.0,4,3,19,13.22,0.0,0.2,1,0.2
365,2,2,2,5.0,3,2,10,12.21,0.0,0.13,0,0.5
366,3,3,2,1.0,6,4,24,14.74,1.0,0.15,1,0.9
367,3,2,1,2.0,2,2,10,12.42,0.0,0.18,0,0.7
368,2,3,2,10.0,2,2,10,11.36,0.0,0.11,0,0.3
369,3,1,3,0.0,3,4,8,16.02,0.0,0.24,0,0.8
370,1,2,1,6.0,3,1,18,7.9,0.0,0.23,0,0.2
371,2,3,2,10.0,2,5,10,16.32,1.0,0.09,1,0.4
372,1,1,1,4.0,1,2,2,11.49,0.0,0.05,0,0.4
373,3,1,3,0.0,4,1,2,8.49,0.0,0.07,0,0.8
374,3,3,2,17.0,4,1,12,7.51,0.0,0.07,0,0.9
375,3,3,2,15.0,3,1,11,7.66,0.0,0.12,0,1.2
376,1,2,1,1.0,5,1,10,8.94,0.0,0.16,0,0.2
377,2,3,2,11.0,3,2,35,9.63,0.0,0.33,0,0.7
378,2,2,2,14.0,2,1,6,5.42,0.0,0.07,0,0.8
379,2,2,2,5.0,5,2,4,9.7,0.0,0.08,0,0.7
