idade_pessoa,salario_pessoa,situacao_propriedade_pessoa,tempo_trabalhado_pessoa,motivo_emprestimo,pontuacao_emprestimo,valor_emprestimo,taxa_juros_emprestimo,status_emprestimo,porcentagem_salario_emprestimo,foi_inadimplente_cb,tempo_primeira_solicitacao_credito_cb
24,21640,Aluguel,NULL,Empreendimento,A,6000,6.62,0,0.28,N,4
29,480000,Hipoteca,6,Pagamento de débitos,A,6500,5.42,0,0.01,N,9
23,115000,Hipoteca,3,Educativo,B,10000,10.59,0,0.09,N,2
27,18600,Aluguel,4,Médico,B,1850,NULL,0,0.1,N,8
25,40000,Aluguel,1,Pagamento de débitos,B,6500,11.89,0,0.16,N,4
23,40000,Aluguel,6,Empreendimento,B,15000,11.71,1,0.38,N,4
23,57000,Aluguel,4,Pagamento de débitos,A,12000,8.94,0,0.21,N,2
25,55044,Aluguel,4,Empreendimento,E,18250,17.56,1,0.33,N,2
26,70000,Aluguel,2,Pagamento de débitos,B,10000,9.45,0,0.14,N,3
22,NULL,Aluguel,3,Pagamento de débitos,B,1000,NULL,NULL,0.03,N,10
24,30000,Aluguel,2,Educativo,A,3000,6.03,0,0.1,N,3
23,40000,Hipoteca,6,Médico,B,13200,NULL,0,0.33,N,4
29,58800,Hipoteca,NULL,Empreendimento,B,11400,10.99,0,0.19,N,9
35,30000,Hipoteca,2,Educativo,A,3300,5.99,0,0.11,N,6
23,55000,Hipoteca,7,Médico,C,10000,13.99,0,0.18,S,3
27,67000,Aluguel,1,Personal,C,2800,13.04,0,0.04,N,7
25,46800,Aluguel,5,Melhora do lar,C,12000,13.11,1,0.26,S,4
24,87663,Hipoteca,5,Melhora do lar,B,14400,NULL,0,0.16,N,2
22,40058,Hipoteca,5,Empreendimento,B,6000,9.91,0,0.15,N,2
22,55992,Aluguel,6,Empreendimento,B,14000,12.21,0,0.25,N,3
32,80000,Aluguel,1,Médico,B,6400,10.99,0,0.08,N,10
21,52000,Aluguel,5,Personal,B,1500,11.99,0,0.03,N,2
31,140000,Hipoteca,2,Melhora do lar,B,11000,10,0,0.08,N,8
30,70000,Hipoteca,14,Educativo,B,8000,9.91,0,0.11,N,5
24,183000,Hipoteca,2,Médico,B,20000,11.49,0,0.11,N,3
31,121000,Hipoteca,15,Pagamento de débitos,C,25000,12.73,0,0.21,S,9
44,24300,Aluguel,0,Empreendimento,D,9750,16.77,1,0.4,N,15
28,63000,Hipoteca,7,Educativo,C,8575,13.49,0,0.14,N,8
28,150000,Hipoteca,12,Melhora do lar,B,15000,11.89,0,0.1,N,9
23,24000,Hipoteca,1,Educativo,B,5600,9.63,0,0.23,N,3
22,47472,Hipoteca,6,Empreendimento,B,20000,11.83,0,0.42,N,3
22,46968,Aluguel,1,Personal,C,8500,NULL,1,0.18,N,4
39,34000,Hipoteca,1,Empreendimento,B,5200,9.76,0,0.15,N,16
28,41500,Aluguel,3,Médico,D,11000,15.33,1,0.27,S,5
24,79631,Aluguel,8,Personal,D,25000,15.7,1,0.31,S,2
27,80000,Aluguel,3,Educativo,A,20000,7.49,0,0.25,N,9
26,72000,Hipoteca,10,Educativo,A,4000,9.32,0,0.06,N,4
40,55182,Aluguel,0,Empreendimento,A,6000,6.99,0,0.11,N,13
23,24000,Aluguel,1,Empreendimento,B,14075,NULL,1,0.59,N,3
23,160000,Hipoteca,7,Pagamento de débitos,A,15000,7.91,0,0.09,N,4
36,34000,Aluguel,2,Personal,C,6000,13.57,0,0.18,N,16
25,60000,Própria,9,Melhora do lar,C,1400,14.22,0,0.02,S,3
21,12000,Aluguel,3,Educativo,B,1600,10.59,1,0.13,N,2
NULL,96000,Hipoteca,1,Empreendimento,B,4000,6.92,0,NULL,N,4
23,24000,Hipoteca,1,Pagamento de débitos,D,2800,16.07,1,0.12,N,3
25,45000,Aluguel,0,Empreendimento,C,10000,12.98,0,0.22,S,2
22,75000,Aluguel,1,Empreendimento,A,19200,NULL,0,0.26,N,2
23,57600,Hipoteca,0,Educativo,B,1000,NULL,0,0.02,N,2
29,62000,Hipoteca,5,Pagamento de débitos,A,10000,5.99,0,0.16,N,8
30,150000,Aluguel,3,Personal,E,25000,17.56,0,0.17,N,5
33,102996,Hipoteca,4,Pagamento de débitos,A,6000,NULL,0,0.06,N,8
26,88000,Aluguel,2,Empreendimento,D,25000,15.65,1,0.28,N,3
24,78000,Hipoteca,8,Empreendimento,C,24000,15.96,1,0.31,N,4
23,160000,Hipoteca,5,Empreendimento,A,35000,7.66,0,0.22,N,3
36,52000,Hipoteca,20,Empreendimento,A,8325,NULL,0,0.16,N,17
23,55000,Aluguel,4,Empreendimento,A,4500,8.49,0,0.08,N,3
33,100000,Hipoteca,1,Melhora do lar,B,25000,10.39,0,0.25,N,8
23,21600,Aluguel,2,Médico,D,6000,14.42,1,0.28,N,4
21,29004,Aluguel,5,Médico,C,11000,14.22,1,0.38,N,2
50,102031,Hipoteca,9,Melhora do lar,D,12000,14.96,0,0.12,S,11
36,15000,Aluguel,0,Personal,C,5000,10.59,1,0.33,N,11
24,77000,Aluguel,6,Médico,B,12000,11.49,0,0.16,N,4
32,25000,Outro,3,Pagamento de débitos,A,11200,7.88,1,0.45,N,5
23,51000,Hipoteca,6,Pagamento de débitos,D,10000,NULL,0,NULL,NULL,4
26,68000,Aluguel,3,Educativo,D,10000,15.05,0,0.15,N,4
27,NULL,Hipoteca,7,Educativo,A,13125,NULL,NULL,0.09,N,9
37,89000,Hipoteca,3,Educativo,A,5000,6.91,0,0.06,N,15
30,110000,Hipoteca,8,Médico,A,4800,5.99,0,0.04,N,5
27,66300,Aluguel,1,Médico,D,9600,NULL,1,0.12,N,7
26,27983,Hipoteca,7,Empreendimento,A,6000,7.88,0,0.21,N,3
27,48000,Aluguel,2,Personal,C,25000,10.59,1,0.52,N,7
26,81000,Aluguel,7,Melhora do lar,C,16000,13.85,0,0.2,S,2
28,9081,Aluguel,NULL,Melhora do lar,B,3000,10.25,1,0.33,N,6
30,155000,Aluguel,9,Pagamento de débitos,A,6000,7.14,0,0.04,N,10
36,34000,Aluguel,5,Médico,C,5500,12.29,0,0.16,N,17
36,150000,Própria,8,Empreendimento,A,7200,6.92,0,0.05,N,13
29,87000,Hipoteca,6,Empreendimento,A,4800,8.94,0,0.06,N,5
22,100000,Hipoteca,3,Empreendimento,B,12000,11.11,0,0.12,N,3
22,66000,Hipoteca,NULL,Educativo,A,6000,7.9,0,0.09,N,3
38,55000,Própria,5,NULL,A,5300,NULL,0,0.17,N,7
35,99800,Hipoteca,9,Personal,A,8000,7.14,0,0.08,N,9
21,34500,Aluguel,2,Melhora do lar,D,11500,15.31,1,0.33,N,2
38,35000,Aluguel,6,Personal,B,5000,9.99,0,0.14,N,14
22,27996,Hipoteca,4,Médico,D,3250,15.21,1,0.12,N,2
28,66920,Aluguel,12,Pagamento de débitos,C,5000,14.26,0,0.07,S,8
NULL,50000,Própria,6,Educativo,B,2000,7.29,0,0.08,NULL,6
36,54000,Aluguel,2,Melhora do lar,C,2225,10.59,1,0.04,N,14
32,84996,Hipoteca,5,Médico,B,20000,8.88,0,0.24,N,5
32,45000,Hipoteca,NULL,Personal,B,7200,12.69,0,0.16,N,5
26,107900,Hipoteca,10,Médico,A,16500,8.94,0,0.15,N,3
22,105000,Hipoteca,6,Educativo,A,7500,NULL,0,0.07,N,2
22,78000,Aluguel,6,Pagamento de débitos,B,21600,11.26,1,0.28,N,3
23,120000,Aluguel,4,Educativo,D,8000,14.61,0,0.07,S,4
29,79000,Hipoteca,1,Pagamento de débitos,A,7000,NULL,0,0.09,N,9
25,25000,Aluguel,3,Personal,D,10000,14.11,1,0.4,S,2
27,72000,Hipoteca,11,Educativo,C,15000,NULL,0,0.21,N,5
24,50000,Hipoteca,8,Educativo,C,3000,13.47,0,0.06,N,2
32,40000,Aluguel,2,Educativo,B,4000,9.99,0,0.1,N,7
40,233000,Hipoteca,6,Médico,B,15000,11.83,0,0.06,N,15
29,80000,Aluguel,13,Médico,C,15000,13.72,0,0.19,S,5
26,31200,Hipoteca,6,Personal,A,9250,7.9,0,0.3,N,2
24,114000,Hipoteca,8,Empreendimento,B,4000,NULL,0,0.04,N,2
23,117696,Hipoteca,2,Médico,A,15000,6.03,0,0.13,N,4
25,75000,Hipoteca,8,Pagamento de débitos,A,15000,9.63,0,0.2,N,3
50,NULL,Hipoteca,5,Empreendimento,A,NULL,19.29,1,0.33,N,3
23,70000,Aluguel,2,Pagamento de débitos,A,10000,9.63,0,0.14,N,3
24,46000,Aluguel,0,Educativo,D,5975,14.46,1,0.13,S,2
22,75000,Aluguel,5,Empreendimento,B,5000,11.49,0,0.07,N,3
25,35000,Aluguel,5,Empreendimento,B,9600,9.91,0,0.27,N,2
24,61000,Aluguel,3,Empreendimento,B,12000,NULL,0,0.2,N,3
30,45063,Aluguel,7,Médico,D,7500,15.05,1,0.17,N,6
28,50000,Aluguel,2,Educativo,D,2000,16.89,1,0.04,N,5
31,10000,Aluguel,15,Pagamento de débitos,A,2650,7.4,1,0.27,N,9
27,62000,Aluguel,7,Pagamento de débitos,A,5000,NULL,0,0.08,N,5
26,50004,Hipoteca,10,Educativo,A,5000,9.32,0,0.1,N,2
23,75000,Aluguel,3,Empreendimento,A,2000,5.79,0,0.03,N,3
26,52000,Aluguel,6,Pagamento de débitos,C,2500,14.82,0,0.05,S,2
24,NULL,Hipoteca,8,Empreendimento,NULL,12800,14.74,0,0.17,S,6
37,30000,Aluguel,6,Médico,B,6500,10.37,0,0.22,N,11
37,44700,Aluguel,0,Pagamento de débitos,A,9000,8.59,0,0.2,N,16
30,90722,Hipoteca,6,Empreendimento,A,10000,6.91,0,0.11,N,8
42,80000,Hipoteca,8,Personal,B,5000,11.99,0,0.06,N,17
38,65000,Hipoteca,5,Educativo,B,15000,10.36,0,0.23,N,17
24,68000,Aluguel,0,Empreendimento,A,10000,6.99,0,0.15,N,3
32,145000,Aluguel,2,Personal,B,8800,10.59,0,0.06,N,7
39,62400,Aluguel,7,Personal,C,20000,12.68,1,0.32,N,13
38,67200,Hipoteca,11,Educativo,A,8000,7.9,0,0.12,N,11
31,33600,Hipoteca,15,Personal,A,6500,7.14,0,0.19,N,8
22,60000,Aluguel,6,Educativo,C,7500,11.34,0,0.13,S,4
34,100000,Hipoteca,8,Melhora do lar,A,15000,6.17,0,0.15,N,10
23,45312,Aluguel,3,Educativo,A,13500,7.88,0,0.3,N,3
25,41000,Hipoteca,9,Educativo,C,5000,11.78,1,0.12,S,3
26,69912,Hipoteca,NULL,Empreendimento,A,10750,12.68,1,NULL,N,3
27,NULL,Hipoteca,3,Empreendimento,B,20000,10.62,0,0.21,N,4
28,48000,Hipoteca,4,Empreendimento,B,3000,11.99,0,0.06,N,6
26,48000,Hipoteca,0,Pagamento de débitos,C,12000,NULL,0,0.25,N,3
46,60350,Aluguel,3,Personal,A,10000,8.94,0,0.17,N,17
31,124992,Hipoteca,15,Pagamento de débitos,A,24000,8.49,0,0.19,N,5
29,50400,Aluguel,6,Pagamento de débitos,A,7000,6.17,0,0.14,N,8
42,36000,Aluguel,7,Médico,D,8400,16.32,1,0.23,S,15
31,54000,Aluguel,2,Pagamento de débitos,C,5500,13.23,0,0.1,N,9
50,85000,Aluguel,1,Melhora do lar,C,17500,13.49,0,0.21,N,17
33,68000,Hipoteca,15,Personal,A,18000,7.9,0,0.26,N,10
25,55000,Hipoteca,9,Empreendimento,A,6500,7.49,0,0.12,N,3
54,125000,Hipoteca,13,Personal,A,12000,6.62,0,0.1,N,24
35,79500,Hipoteca,5,Personal,D,9600,14.61,0,0.12,S,5
26,74999,Aluguel,4,Melhora do lar,D,16000,17.27,0,0.21,S,4
36,23004,Aluguel,0,Personal,B,9450,10.37,1,0.41,N,13
23,51000,Aluguel,3,Pagamento de débitos,E,12000,17.99,1,0.24,S,4
27,55200,Aluguel,0,Educativo,A,4000,6.76,0,0.07,N,10
30,53196,Aluguel,14,Personal,A,3000,7.66,0,0.06,N,5
24,52000,Aluguel,3,Educativo,B,10000,12.42,0,0.19,N,2
25,115000,Aluguel,6,Médico,A,10000,7.29,0,0.09,N,4
25,150000,Hipoteca,4,Educativo,A,6000,7.66,0,0.04,N,3
25,60000,Aluguel,1,Educativo,A,10000,NULL,0,0.17,N,4
26,90000,Aluguel,4,Personal,D,5000,16.77,0,0.06,S,3
35,95142,Hipoteca,18,Personal,D,12000,14.84,0,0.13,S,9
21,14400,Aluguel,2,Melhora do lar,B,3000,9.63,1,0.21,N,2
32,70000,Própria,1,Médico,A,14400,7.88,0,0.21,N,10
30,102489,Hipoteca,14,Personal,B,25000,12.18,0,0.24,N,7
30,120000,Hipoteca,13,Educativo,B,15000,NULL,0,0.13,N,8
23,44000,Aluguel,2,Médico,C,6000,14.22,0,0.14,S,4
24,48000,Aluguel,4,Pagamento de débitos,B,15200,11.48,1,0.32,N,3
35,100000,Hipoteca,14,Personal,A,10000,6.62,0,0.1,N,8
48,39000,Aluguel,7,Médico,D,5800,14.54,1,0.15,N,15
26,60000,Aluguel,5,Empreendimento,C,3000,15.62,0,0.05,N,2
25,59000,Aluguel,0,Médico,D,5000,15.62,1,0.08,S,3
26,49441,Própria,11,Melhora do lar,A,12000,6.99,0,0.24,N,4
38,74000,Aluguel,21,Pagamento de débitos,B,4000,11.26,0,0.05,N,14
22,50000,Hipoteca,6,Educativo,B,13000,10.65,0,0.26,N,3
25,44975,Aluguel,2,Médico,A,11000,6.99,0,0.24,N,4
24,65000,NULL,3,NULL,A,13750,14.22,0,0.46,N,4
23,40000,Própria,1,Empreendimento,B,15000,12.42,0,0.38,N,4
33,81804,Hipoteca,4,Pagamento de débitos,A,9000,8,0,0.11,N,8
29,84000,Hipoteca,11,Médico,A,15000,6.99,0,0.18,N,7
29,34000,Própria,2,Empreendimento,E,14400,16,0,0.42,S,7
26,62500,Aluguel,7,Médico,C,12000,12.23,0,0.19,S,4
31,36000,Aluguel,2,Empreendimento,NULL,25475,15.99,NULL,0.45,S,7
29,24000,Aluguel,1,Médico,A,5000,6.92,0,0.21,N,10
25,34000,Hipoteca,9,Pagamento de débitos,B,10000,12.42,0,0.29,N,3
27,42000,Hipoteca,4,Personal,C,2850,13.48,1,0.07,N,7
27,40000,Aluguel,1,Pagamento de débitos,B,6000,11.99,0,0.15,N,6
22,25000,Aluguel,2,Personal,C,7000,13.85,0,0.28,S,3
23,39000,Aluguel,1,Personal,B,12000,10.99,1,0.31,N,2
35,35000,Hipoteca,4,Médico,C,5200,15.23,0,0.15,N,6
26,155142,Hipoteca,6,Personal,D,23000,18.25,0,0.15,N,2
34,160000,Hipoteca,1,Melhora do lar,A,23000,6.91,0,0.14,N,10
29,90000,Hipoteca,13,Pagamento de débitos,A,6000,6.03,0,0.07,N,5
26,43000,Aluguel,4,Educativo,C,10000,14.65,0,0.23,N,4
26,34988,Aluguel,9,Melhora do lar,C,15000,13.98,1,0.43,N,2
24,38400,Aluguel,8,Personal,E,3000,17.56,0,0.08,S,2
25,78000,Hipoteca,2,Empreendimento,B,6000,NULL,0,0.08,N,4
37,31200,Própria,1,Empreendimento,A,6600,5.42,0,0.21,N,12
27,28800,Aluguel,6,Médico,D,5000,14.96,0,0.17,S,5
22,40000,Aluguel,0,Personal,A,4000,7.43,0,0.1,N,4
22,27048,Aluguel,0,Educativo,C,10000,12.61,1,0.37,S,4
28,75000,Hipoteca,5,Médico,A,16800,6.03,0,0.22,N,8
28,35000,Aluguel,5,Médico,D,10000,14.61,0,0.29,N,7
41,40000,Aluguel,3,Personal,A,9200,7.49,0,0.23,N,13
23,25000,Aluguel,3,Médico,B,5600,11.11,0,0.22,N,4
NULL,116000,Hipoteca,3,Pagamento de débitos,B,12000,NULL,1,0.1,N,7
28,53000,Aluguel,0,Médico,C,12000,14.72,0,0.23,N,8
33,62130,Aluguel,6,Melhora do lar,A,9050,7.29,0,0.15,N,7
22,50000,Aluguel,6,Educativo,D,11400,17.58,0,0.23,S,4
21,36000,Aluguel,0,Educativo,A,4500,6.62,0,0.13,N,2
25,23000,Aluguel,0,Educativo,C,2100,13.48,0,0.09,S,4
25,42000,Aluguel,6,Médico,A,5600,7.49,0,0.13,N,2
25,89000,Aluguel,4,Educativo,B,7000,10.99,0,0.08,N,3
21,30000,Aluguel,2,Empreendimento,B,7000,10.99,0,0.23,N,3
23,30000,Hipoteca,6,Educativo,A,10000,7.66,0,0.33,N,3
21,37000,Aluguel,0,Educativo,A,3000,6.39,0,0.08,N,3
35,60000,Própria,9,Personal,B,24000,12.53,0,0.4,N,9
23,72000,Aluguel,3,Personal,A,10000,6.91,0,0.14,N,2
26,42000,Aluguel,3,Empreendimento,A,12000,8.49,0,0.29,N,3
26,44000,Aluguel,10,Pagamento de débitos,D,14000,14.83,1,0.32,N,2
27,54000,Hipoteca,1,Melhora do lar,B,27575,NULL,0,0.51,N,10
39,67000,Aluguel,6,Empreendimento,B,16000,10.99,0,0.24,N,16
23,20124,Aluguel,NULL,Pagamento de débitos,C,5950,13.49,0,0.3,S,3
25,50000,Aluguel,8,Educativo,C,4800,15.96,0,0.1,N,2
31,94350,Hipoteca,5,Médico,D,15000,15.37,1,0.14,N,8
34,50000,Própria,NULL,Educativo,A,10000,6.03,0,0.2,N,5
25,40000,Aluguel,2,Pagamento de débitos,B,5600,NULL,0,0.14,N,3
33,135000,Própria,0,Melhora do lar,A,6275,6.91,0,0.05,N,7
40,62540,Hipoteca,5,Médico,F,7500,19.04,1,0.1,S,12
33,48000,Aluguel,4,Pagamento de débitos,B,3600,11.99,0,0.07,N,10
37,65000,Hipoteca,12,Personal,B,11000,9.91,0,0.17,N,16
27,130000,Hipoteca,3,Empreendimento,B,24000,10.99,0,0.18,N,10
33,67000,Aluguel,8,Melhora do lar,C,18000,13.11,1,0.27,S,7
29,68000,Aluguel,1,Médico,B,10000,10.65,0,0.15,N,5
25,NULL,Hipoteca,9,Médico,C,20050,NULL,1,0.33,S,10
32,55600,Própria,14,Educativo,B,8800,9.99,0,0.16,N,6
26,95000,Hipoteca,9,Empreendimento,D,17000,15.65,0,0.18,N,2
29,50000,Aluguel,2,Pagamento de débitos,B,10000,11.26,0,0.2,N,6
35,36000,Aluguel,4,Médico,E,9000,18.39,1,0.25,S,6
23,40000,Aluguel,0,Educativo,B,5000,12.42,0,0.13,N,4
32,128004,Própria,0,Empreendimento,A,11000,NULL,0,0.09,N,8
22,30000,Hipoteca,4,Educativo,B,5000,11.89,1,0.17,N,4
32,103000,Hipoteca,0,Personal,E,33000,18.64,1,0.32,N,6
35,88000,Hipoteca,18,Médico,B,9800,12.69,0,0.11,N,10
22,70000,Hipoteca,2,Educativo,A,5000,6.03,0,0.07,N,2
32,65000,Hipoteca,6,Personal,B,5600,11.58,0,0.09,N,5
29,68000,Aluguel,1,Educativo,B,10000,10.65,0,0.15,N,5
26,NULL,Hipoteca,10,Personal,A,8000,5.99,0,0.16,NULL,7
22,48000,Hipoteca,6,Educativo,A,9925,9.63,0,0.21,N,2
30,115000,Hipoteca,3,Pagamento de débitos,D,20000,14.59,1,0.17,N,7
49,120000,Hipoteca,12,Médico,B,12000,10.99,0,0.1,N,12
23,60000,Aluguel,4,Pagamento de débitos,B,24750,9.33,1,0.41,N,3
28,30996,Aluguel,7,Médico,B,4000,10.65,0,0.13,N,5
29,70000,Hipoteca,5,Pagamento de débitos,C,10000,13.85,0,0.14,N,7
47,18000,Aluguel,0,Melhora do lar,D,1000,14.84,1,0.06,S,16
28,NULL,Aluguel,7,Educativo,A,20000,10.62,0,NULL,N,4
27,157544,Hipoteca,8,Empreendimento,C,35000,12.99,0,0.22,N,8
34,52809,Aluguel,18,Pagamento de débitos,B,13000,10.62,0,0.25,N,8
34,57912,Hipoteca,7,Empreendimento,A,5600,5.42,0,0.1,N,8
22,20160,Aluguel,1,Educativo,A,2600,6.92,0,0.13,N,4
41,42000,Aluguel,0,Empreendimento,C,4000,13.43,0,0.1,N,14
58,780000,Hipoteca,7,Personal,A,4500,6.91,0,0.01,N,19
35,125000,Aluguel,6,Pagamento de débitos,C,7000,13.06,0,0.06,S,5
24,83050,Hipoteca,5,Educativo,C,10000,13.49,0,0.12,S,3
28,35600,Aluguel,3,Educativo,A,4000,7.49,0,0.11,N,6
22,95000,Hipoteca,2,Pagamento de débitos,A,24000,7.9,0,0.25,N,4
24,40000,Aluguel,NULL,Personal,C,8200,NULL,0,0.05,N,3
27,24500,Aluguel,3,Médico,B,10000,10.25,1,0.41,N,7
24,32000,Hipoteca,5,Melhora do lar,A,6000,5.42,0,0.19,N,4
23,43000,Aluguel,7,Educativo,A,1000,7.51,0,0.02,N,3
41,34800,Aluguel,4,Pagamento de débitos,B,5000,11.99,0,0.14,N,14
22,29654,Aluguel,3,Educativo,C,7000,14.22,1,0.24,N,3
30,144997,Hipoteca,14,Personal,B,25000,11.83,0,0.17,N,5
39,119000,Aluguel,2,Educativo,A,10800,7.49,0,0.09,N,13
34,60000,Aluguel,3,Empreendimento,A,12000,6.92,0,0.2,N,9
28,11340,Própria,NULL,Pagamento de débitos,A,2325,6.39,1,0.21,N,7
31,27600,Própria,1,Educativo,B,3000,11.49,0,0.11,N,9
29,63996,Própria,8,Personal,C,12000,12.61,0,0.19,N,5
26,83000,Aluguel,6,Médico,C,7000,13.49,0,0.08,S,3
30,36000,Hipoteca,2,Empreendimento,A,3000,6.39,0,0.08,N,10
28,40000,Aluguel,0,Educativo,B,10000,12.42,0,0.25,N,5
23,29120,Própria,0,Educativo,A,6400,8.94,0,0.22,N,4
28,61500,Aluguel,1,Melhora do lar,B,4000,10.95,0,0.07,N,8
29,32000,NULL,13,Educativo,B,NULL,13.67,1,0.04,N,2
31,43200,Hipoteca,0,Empreendimento,A,3000,8.9,0,0.07,N,6
29,46000,Hipoteca,3,Empreendimento,B,6000,11.49,0,0.13,N,5
23,91000,Hipoteca,3,Personal,B,12000,NULL,0,0.13,N,3
22,44684,Aluguel,1,Pagamento de débitos,C,8000,12.04,0,0.18,S,2
21,30000,Aluguel,3,Empreendimento,C,5000,13.92,0,0.17,N,4
24,92000,Aluguel,8,Médico,B,24500,11.46,0,0.27,N,4
27,68000,Aluguel,0,Pagamento de débitos,A,6500,7.51,0,0.1,N,7
22,32244,Aluguel,2,Empreendimento,B,11100,12.21,1,0.34,N,3
29,68500,Aluguel,4,Empreendimento,B,10000,12.53,0,0.15,N,7
23,70000,Hipoteca,3,Empreendimento,A,15000,8.49,0,0.21,N,2
25,100000,Hipoteca,9,Médico,A,3275,5.42,0,0.03,N,2
26,50000,Hipoteca,7,Empreendimento,A,7200,6.62,0,0.14,N,2
34,47300,Hipoteca,3,Melhora do lar,A,12000,7.88,0,0.25,N,10
22,66000,Própria,6,Pagamento de débitos,D,7500,17.58,0,0.11,S,4
28,90000,Hipoteca,5,Empreendimento,B,25000,11.86,0,0.28,N,6
25,32004,Hipoteca,3,Personal,A,22750,6.17,0,0.71,N,4
56,90000,Hipoteca,0,Personal,A,7200,6.17,0,0.08,N,21
30,90000,Hipoteca,4,Empreendimento,C,8000,NULL,0,0.09,S,9
23,30000,Hipoteca,0,Pagamento de débitos,C,1000,13.72,0,0.03,N,4
22,48000,Aluguel,6,Empreendimento,B,5000,NULL,0,0.1,N,2
24,37000,Hipoteca,0,Médico,C,8500,12.53,1,0.23,S,2
24,54000,Aluguel,8,Melhora do lar,B,6800,10.59,0,0.13,N,3
35,31577,Aluguel,6,Médico,B,5000,9.99,0,0.16,N,9
22,49000,Aluguel,7,NULL,C,13000,18.39,1,0.3,NULL,3
34,30000,Aluguel,5,Médico,A,4200,5.79,0,0.14,N,8
24,98000,Hipoteca,8,Empreendimento,A,10000,6.62,0,0.1,N,3
28,131040,Hipoteca,0,Médico,C,10000,13.35,0,0.08,S,7
29,113000,Hipoteca,5,Personal,G,25000,18.84,1,0.22,S,7
28,13200,Aluguel,0,Médico,B,3000,10.99,1,0.23,N,6
28,240000,Aluguel,2,Médico,B,6000,11.46,0,0.03,N,6
26,30320,Aluguel,2,Personal,B,7500,12.18,1,0.25,N,3
21,110000,Hipoteca,5,Pagamento de débitos,A,10000,6.54,0,0.09,N,2
29,82000,Própria,5,Personal,C,21000,14.65,0,0.26,S,5
27,95000,Hipoteca,11,Empreendimento,C,18000,13.48,0,0.19,N,5
33,62050,Hipoteca,17,Médico,D,20000,NULL,1,0.27,S,8
21,84000,Hipoteca,5,Pagamento de débitos,B,10000,12.53,0,0.12,N,4
26,70000,Aluguel,4,Pagamento de débitos,A,4000,5.99,0,0.06,N,4
38,53052,Aluguel,0,Educativo,B,8000,NULL,0,0.15,N,15
22,40000,Aluguel,0,Empreendimento,A,8600,7.66,0,0.21,N,2
23,115000,Hipoteca,7,Educativo,C,10000,14.27,0,0.09,N,2
27,100000,Hipoteca,1,Pagamento de débitos,C,16000,13.43,0,0.16,N,5
24,33000,Aluguel,1,Médico,F,5000,21.36,1,0.15,N,2
27,55600,Própria,2,Educativo,B,4200,10.37,0,0.08,N,9
32,45000,Hipoteca,6,Personal,A,15000,7.51,0,0.33,N,5
34,74000,Hipoteca,10,Educativo,C,17000,14.27,0,0.23,S,10
21,30000,Aluguel,3,Pagamento de débitos,A,2500,7.14,1,0.08,N,4
24,85000,Aluguel,1,Empreendimento,B,16000,11.99,0,0.19,N,3
22,80000,Aluguel,3,Personal,D,33950,14.54,1,0.42,S,4
28,11029,Hipoteca,12,Pagamento de débitos,C,2150,10.78,1,0.19,S,6
29,55000,Hipoteca,1,Empreendimento,A,12625,7.9,0,0.23,N,6
21,39900,Aluguel,0,Educativo,A,12000,7.9,0,0.3,N,4
22,36000,Própria,4,Educativo,D,5000,14.61,0,0.14,N,2
22,31200,Hipoteca,NULL,NULL,A,25000,15.58,0,0.11,S,15
